"Relative Time (Process)","DQN_4seq_5 - _step","DQN_4seq_5 - _step__MIN","DQN_4seq_5 - _step__MAX","DQN_4seq_5 - amount_of_options_explored","DQN_4seq_5 - amount_of_options_explored__MIN","DQN_4seq_5 - amount_of_options_explored__MAX"
"12.867160099","6","6","6","1","1","1"
"15.086483641","55","55","55","2","2","2"
"17.35560429","119","119","119","3","3","3"
"19.319511014","183","183","183","4","4","4"
"22.644970305","254","254","254","5","5","5"
"24.581886287","313","313","313","6","6","6"
"26.3698735","377","377","377","7","7","7"
"28.129906381","441","441","441","8","8","8"
"31.52487535","512","512","512","9","9","9"
"33.528733304","571","571","571","10","10","10"
"35.541105542","630","630","630","11","11","11"
"37.556963384","694","694","694","12","12","12"
"91.005076489","2091","2091","2091","13","13","13"
"93.032633975","2155","2155","2155","14","14","14"
"105.749838243","2460","2460","2460","15","15","15"
"107.678398938","2514","2514","2514","16","16","16"
"109.704268107","2578","2578","2578","17","17","17"
"111.819292718","2642","2642","2642","18","18","18"
"129.494733894","3078","3078","3078","19","19","19"
"131.440896879","3137","3137","3137","20","20","20"
"137.303648956","3261","3261","3261","21","21","21"
"139.366304551","3320","3320","3320","22","22","22"
"141.559293467","3384","3384","3384","23","23","23"
"159.546982409","3820","3820","3820","24","24","24"
"161.669273356","3884","3884","3884","25","25","25"
"167.134818028","4003","4003","4003","26","26","26"
"169.157034301","4067","4067","4067","27","27","27"
"171.217572738","4131","4131","4131","28","28","28"
"188.113107925","4562","4562","4562","29","29","29"
"190.090605869","4621","4621","4621","30","30","30"
"621.642592189","14654","14654","14654","31","31","31"
"623.968250547","14713","14713","14713","32","32","32"
"626.280971963","14777","14777","14777","33","33","33"
"812.389650865","18690","18690","18690","34","34","34"
"814.904194377","18754","18754","18754","35","35","35"
"817.290674754","18813","18813","18813","36","36","36"
"905.453649632","20700","20700","20700","37","37","37"
"907.9038363","20759","20759","20759","38","38","38"
"910.331973261","20818","20818","20818","39","39","39"
"939.802319286","21440","21440","21440","40","40","40"
"942.254398565","21499","21499","21499","41","41","41"
"944.694773572","21563","21563","21563","42","42","42"
"1000.561860847","22686","22686","22686","43","43","43"
"1003.087852177","22750","22750","22750","44","44","44"
"1012.418098906","22927","22927","22927","45","45","45"
"1015.091835713","22991","22991","22991","46","46","46"
"1164.228496525","26063","26063","26063","47","47","47"
"1166.857453233","26127","26127","26127","48","48","48"
"1169.454721607","26191","26191","26191","49","49","49"
"1176.096631658","26315","26315","26315","50","50","50"
"1178.672667715","26374","26374","26374","51","51","51"
"1181.126921783","26438","26438","26438","52","52","52"
"1203.209668384","26869","26869","26869","53","53","53"
"1206.082516986","26928","26928","26928","54","54","54"
"1443.06424015","31697","31697","31697","55","55","55"
"1445.814847292","31761","31761","31761","56","56","56"