"Relative Time (Process)","DQN9 - _step","DQN9 - _step__MIN","DQN9 - _step__MAX","DQN9 - amount_of_options_explored","DQN9 - amount_of_options_explored__MIN","DQN9 - amount_of_options_explored__MAX"
"15.153866559","6","6","6","1","1","1"
"17.419726938","76","76","76","2","2","2"
"19.553231098","146","146","146","3","3","3"
"23.216853835","229","229","229","4","4","4"
"25.432673401","293","293","293","5","5","5"
"27.503744861","369","369","369","6","6","6"
"31.288477211","452","452","452","7","7","7"
"33.205051929","516","516","516","8","8","8"
"35.387965228","598","598","598","9","9","9"
"48.734929908","958","958","958","10","10","10"
"50.633221002","1028","1028","1028","11","11","11"
"771.403434396","4800","4800","4800","12","12","12"
"773.607850977","4876","4876","4876","13","13","13"
"1441.057835789","22000","22000","22000","14","14","14"
"1443.480421268","22076","22076","22076","15","15","15"