"Relative Time (Process)","2025-05-04_14-47-08_PID15397 - _step","2025-05-04_14-47-08_PID15397 - _step__MIN","2025-05-04_14-47-08_PID15397 - _step__MAX","2025-05-04_14-47-08_PID15397 - amount_of_options_explored","2025-05-04_14-47-08_PID15397 - amount_of_options_explored__MIN","2025-05-04_14-47-08_PID15397 - amount_of_options_explored__MAX"
"6.268731314","4","4","4","1","1","1"
"9.626964924","66","66","66","2","2","2"
"13.008371095","118","118","118","3","3","3"
"16.516545162","175","175","175","3","3","3"
"19.972287922","233","233","233","4","4","4"
"25.572935648","348","348","348","5","5","5"
"31.305926437","468","468","468","5","5","5"
"36.475284693","584","584","584","6","6","6"
"43.507599819","762","762","762","6","6","6"
"46.973432003","820","820","820","7","7","7"
"52.497181448","950","950","950","8","8","8"
"57.908705093","1075","1075","1075","8","8","8"
"63.421035514","1196","1196","1196","9","9","9"
"70.9643206","1374","1374","1374","9","9","9"
"76.639237499","1490","1490","1490","10","10","10"
"84.004340147","1668","1668","1668","10","10","10"
"87.578523406","1731","1731","1731","11","11","11"
"93.027944158","1851","1851","1851","12","12","12"
"98.517762115","1971","1971","1971","12","12","12"